Chinese,English,Frequency Count
的,of,3957141
我,I,3669472
你,you,3282942
了,Be,2141739
是,yes,1670639
在,exist,1023023
他,he,904210
我们,us,827393
不,No,725410
吗,?,652753
好,good,558010
什么,What,534934
有,have,511680
就,At once,504482
吧,Bar,502836
她,she,488294
这,this,440271
知道,Know,437631
说,explain,413852
都,All,413654
去,go,370927
很,very,365403
啊,ah,358257
要,want,352653
也,also,336670
他们,them,330294
和,and,323973
那,That,323364
想,think,317123
人,people,315856
会,meeting,312399
一个,one,286202
来,Come,279006
把,Bundle,259336
对,right,257560
没有,No,257229
做,Do,256927
不是,no,253201
让,let,235971
给,Give,232587
可以,Can,213363
你们,you,207368
呢,Woolen cloth,203137
但,but,200270
到,arrive,195057
还,return,192818
现在,Now,191204
这个,this,184608
能,able,183817
怎么,how,174335
就是,that is,174001
跟,and,172998
如果,if,171340
没,without,171205
它,it,170019
走,Walk,169161
上,superior,163659
得,have to,157393
被,quilt,156912
这里,here,155860
这样,so,154329
个,indivual,148111
看,look,142855
事,thing,136748
自己,Own,134251
着,Be,133440
谁,who,127180
过,Pass,126905
不会,Won't,126661
告诉,Tell,121954
为什么,Why,119165
不能,cannot,118579
真的,real,117819
先生,gentlemen,115604
只是,only,115329
不要,don't want,114532
这是,This is,113425
已经,already,111924
再,Again,108389
哦,oh,107476
需要,need,104694
因为,because,103803
谢谢,Thanks,103359
像,picture,102722
这么,so,100276
可能,possible,98736
但是,but,97940
那个,that,97172
所以,so,95494
喜欢,like,94248
又,again,92798
叫,Call,92723
快,quick,92473
我要,I want,91413
觉得,feel,90238
别,Don't,89878
听,listen,88997
找,try to find,88902
里,inside,88316
还有,besides,86154
时候,when,85885
东西,thing,85443
等,wait,84043
死,die,83694
多,many,83326
从,from,82805
我会,I can,82721
一起,Together,82570
应该,should,80917
我們,us,80892
这些,These,80491
请,please,78036
孩子,child,77837
看到,See,76397
一下,one time,75952
那么,So,75600
为,for,75445
嗎,?,75041
而,and,73889
您,you,71712
才,talent,71045
用,use,70127
还是,still,69657
嗯,Um,68924
问题,question,68808
工作,Work,68195
一样,Same,67580
呀,ah,66299
开始,start,65701
吃,eat,65392
嘿,Hey,64649
当,when,64152
真,real,63782
中,middle,62747
然后,Then,62651
看看,have a look,62631
說,explain,62539
地方,place,61961
一定,must,61403
将,Will,61310
希望,hope,61212
朋友,friend,61124
今天,today,59831
拿,take,59701
一,one,59154
啦,La,59038
事情,matter,58749
一直,Always,58600
所有,all,58300
找到,turn up,57999
什麼,What,57953
哪,where,57922
当然,certainly,57824
们,People,57747
回来,return,57701
不想,In no mood,57531
更,Even,56704
最,most,56437
帮,help,56384
没事,fine,54978
只,Only,54737
那些,Those ones,54687
可,Can,54677
明白,clear,54299
的话,if,54266
爸爸,dad,54140
下,Down,54021
太,too,53888
离开,leave,53576
一切,everything,53550
时间,time,53544
相信,believe,53265
妈妈,Mother,52775
想要,want to,52767
爱,like,52273
发生,occur,52014
打,beat,51894
点,point,51607
來,Come,51606
钱,money,51381
大,big,51218
起来,stand up,51203
真是,Really,50761
你好,Hello,50640
抱歉,Feel sorry,50333
必须,must,50284
认为,think,50036
一点,a little,49989
非常,Very,49809
那里,There,48875
对不起,sorry,48834
天,sky,48822
也许,Maybe,48806
大家,Everyone,48356
哪里,where,48077
有人,Someone,48030
该,Should,47800
意思,mean,47296
杀,kill,45836
准备,Prepare,45490
并,and,45252
出来,come out,45071
与,and,43845
时,hour,43426
不过,but,43421
一些,Some,43319
为了,for,42835
带,bring,42790
女人,woman,42510
这儿,here,41851
后,back,41251
只有,only,41172
过来,come over,41005
比,Compare,40956
一次,once,40766
得到,get,39988
и,bleak,39923
很多,a lot of,39668
任何,any,39594
这种,This,39590
小,Small,39473
怎么样,How about it,39364
對,right,38384
感觉,Feel,38329
年,Year,38181
是不是,Yes or no,37975
以为,Think,37929
而且,and,37779
前,forward,37674
生活,Life,37632
男人,man,37624
之前,Before,37558
喂,Hello,37491
问,ask,37160
发现,Discover,37040
噢,oh,36705
可是,But,36669
快点,hurry up,36485
嗨,Hi,36184
妈,mom,36011
两个,two,35966
不用,Need not,35781
地,land,35498
向,Towards,35398
名字,name,35374
没错,Right,35015
见,See,34008
世界,world,33790
沒,without,33365
记得,Remember,33268
住,live,33258
新,new,33132
不错,good,33113
肯定,affim,33061
最好,most,33033
不行,no,32963
等等,etc.,32945
嘛,Well,32723
出去,go out,32723
么,What's wrong?,32274
先,First,32196
為,for,32036
亲爱,dear,31933
或,or,31727
他們,them,31420
担心,Worry,31339
如何,how,31320
到底,in the end,31107
有点,A little bit,30851
最后,at last,30725
小姐,Miss,30706
上帝,God,30372
认识,know,30285
會,meeting,30165
正在,In,30153
那样,That way,29969
父亲,Father,29719
高兴,Happy,29700
明天,tomorrow,29587
重要,important,29507
跑,run,29295
警察,police,29120
只要,if only,29107
干什么,What to do,29067
好像,like,29033
再见,goodbye,28825
月,moon,28795
我能,I can,28783
继续,continue,28740
出,out,28686
今晚,tonight,28650
他妈的,damn it,28590
回家,go home,28350
它们,they,28308
多少,How many,28247
电话,Telephone,28178
听到,Hear,27995
干嘛,what,27736
干,Dry,27619
医生,doctor,27452
要是,if,27266
女孩,girl,27105
這,this,27018
所,Place,27006
讓,let,26978
马上,immediately,26720
过去,past,26646
以前,before,26399
儿子,son,26024
哪儿,where,25634
说话,say,25586
买,purchase,25518
看起来,Look,25511
一個,one,25462
完全,completely,25423
该死,Damn,25331
美国,U.S.,25172
怎样,how,25165
回去,go back,25126
以,by,24974
却,but,24940
其他,other,24825
永远,forever,24688
家伙,Guy,24679
之后,after,24566
怎麼,how,24413
看见,see,24365
或者,or,24021
小心,careful,23400
行,OK,23301
别人,other people,23278
成为,become,23248
写,Write,23064
不到,Not,22964
情况,Condition,22913
送,deliver,22802
伙计,Gang,22702
一天,one day,22615
玩,Play,22502
见到,See,22417
放,put,22359
晚上,night,22343
喝,drink,22343
总是,always,22325
好好,well,22178
琌,Bleak,22168
号,Number,22150
如此,in this way,22150
家,Home,22081
坐,sit,22044
了解,learn,21944
有没有,Do you have,21883
兄弟,brother,21871
没什么,nothing,21850
我来,I come,21764
结束,Finish,21743
机会,Chance,21719
已,already,21707
安全,Safety,21662
拜托,Ask,21530
决定,Decide,21480
穿,wear,21460
确定,Sure,21435
里面,in,21222
呃,Well,21202
怎么办,what to do,21189
还好,fine,21062
无法,Unable to,21037
小时,Hour,21036
站,stand,21015
清楚,clear,21001
有些,some,20997
错,wrong,20914
這個,this,20849
帮助,help,20849
长官,Chief,20785
公司,company,20745
打电话,Call up,20621
房子,house,20426
根本,fundamental,20419
懂,Understand,20399
办法,Method,20396
不管,in spite of,20313
混蛋,asshole,20306
关于,about,20217
搞,Do,20122
计划,plan,19959
唯一,only,19772
来说,For,19688
女儿,daughter,19614
